State,ANSI Code,Year,Total,Aged,Blind and DIsabled,Under 18,18-64,65 or older
Iowa,19,2021,29114,1062,28053,5426,20847,2841
Kansas,20,2021,27793,1074,26718,5789,19204,2800
Kentucky,21,2021,98147,2752,95395,17018,69284,11845
Louisiana,22,2021,100490,3277,97212,22708,65899,11883
Maine,23,2021,20266,520,19746,2569,15688,2009
Maryland,24,2021,73225,6747,66477,12691,48185,12349
Massachusetts,25,2021,102905,11175,91730,14251,63885,24769
Michigan,26,2021,164075,8475,155600,25023,116370,22681
Minnesota,27,2021,55704,5462,50242,8430,35573,11701
Mississippi,28,2021,64482,1874,62607,13123,43851,7507
Missouri,29,2021,77412,2398,75015,13430,56304,7678
Montana,30,2021,9760,438,9322,1506,7058,1196
Nebraska,31,2021,15758,872,14887,2477,11372,1909
Nevada,32,2021,33421,6280,27141,6831,19765,6825
New Hampshire,33,2021,10047,334,9713,1398,7772,877
New Jersey,34,2021,103300,15801,87499,17102,59660,26538
New Mexico,35,2021,35085,2619,32466,5491,23100,6494
New York,36,2021,361659,49815,311844,56495,198998,106165
North Carolina,37,2021,131427,5263,126164,24987,91097,15343
North Dakota,38,2021,4472,270,4202,688,3177,607
Ohio,39,2021,183664,6762,176901,30766,130981,21917
Oklahoma,40,2021,55258,1800,53457,10578,39302,5377
Oregon,41,2021,52101,3885,48216,7018,36787,8297
Pennsylvania,42,2021,212816,10148,202668,42141,138396,32279
Rhode Island,44,2021,18522,1309,17213,2606,12630,3286
South Carolina,45,2021,66010,2186,63824,12123,46088,7799
South Dakota,46,2021,8046,568,7478,1524,5309,1212
Tennessee,47,2021,102192,3338,98854,15137,75308,11747
Texas,48,2021,354107,36218,317889,88804,199922,65381
Utah,49,2021,18632,1198,17433,3259,12964,2409
Vermont,50,2021,8516,344,8172,985,6511,1021
Virginia,51,2021,88601,7188,81413,14923,59481,14197
Washington,52,2021,89551,8347,81204,10944,60611,17996
West Virginia,54,2021,41878,660,41218,5045,32170,4662
Wisconsin,55,2021,67877,2363,65514,14250,46214,7413
Wyoming,56,2021,3707,87,3620,615,2766,326
Outlying area,,,,,,,,
Northern Mariana Islands,57,2021,628,65,562,183,351,93
Alabama,01,2022,76808,3068,73740,16932,51984,7892
Alaska,02,2022,5409,606,4803,621,3824,963
Arizona,04,2022,48579,4461,44118,10627,29743,8209
Arkansas,05,2022,44137,1539,42598,12301,27969,3866
California,06,2022,766271,193795,572476,70537,403001,292733
Colorado,08,2022,28167,2981,25185,4157,19214,4795
Connecticut,09,2022,26219,2407,23812,4065,17539,4616
Delaware,10,2022,6881,371,6510,1894,4242,746
District of Columbia,11,2022,11584,579,11006,2645,7526,1413
Florida,12,2022,202199,35278,166921,46834,103851,51514
Georgia,13,2022,98202,6427,91775,20926,63819,13457
Hawaii,15,2022,11844,2573,9271,856,7388,3601
Idaho,16,2022,11375,441,10934,2429,8058,888
Illinois,17,2022,131440,11364,120076,26365,83050,22025
Indiana,18,2022,52201,1463,50738,13305,35462,3434
Iowa,19,2022,20081,805,19276,4150,14128,1803
Kansas,20,2022,19649,891,18758,4343,13433,1873
Kentucky,21,2022,86852,2643,84209,16947,61205,8700
Louisiana,22,2022,75470,3551,71919,18425,48313,8732
Maine,23,2022,15492,440,15052,2106,12150,1236
Maryland,24,2022,49743,5411,44331,9077,31809,8857
Massachusetts,25,2022,91435,18740,72695,12592,58789,20054
Michigan,26,2022,118315,5401,112914,23339,82475,12501
Minnesota,27,2022,37990,3832,34158,6713,24694,6584
Mississippi,28,2022,55357,2479,52879,13321,35251,6785
Missouri,29,2022,57683,2208,55475,12117,40274,5292
Montana,30,2022,7329,232,7097,1294,5418,617
Nebraska,31,2022,10665,506,10158,2072,7538,1055
Nevada,32,2022,17282,3232,14050,3643,10209,3429
New Hampshire,33,2022,7380,238,7141,1170,5692,517
New Jersey,34,2022,76612,13161,63451,13369,43032,20211
New Mexico,35,2022,25975,2273,23701,4709,16592,4673
New York,36,2022,345893,55270,290622,46478,199120,100295
North Carolina,37,2022,93057,4993,88063,22215,59073,11769
North Dakota,38,2022,3293,204,3089,553,2316,425
Ohio,39,2022,132237,4615,127622,26766,93473,11997
Oklahoma,40,2022,40739,1736,39003,8862,27959,3918
Oregon,41,2022,31163,2637,28526,4888,21722,4554
Pennsylvania,42,2022,170133,8768,161365,37477,111543,21112
Rhode Island,44,2022,15854,1342,14512,2631,10570,2653
South Carolina,45,2022,48664,2402,46262,10701,31917,6046
South Dakota,46,2022,5558,354,5203,1179,3597,781
Tennessee,47,2022,77942,3228,74714,13577,55660,8704
Texas,48,2022,242628,29799,212829,59756,136300,46572
Utah,49,2022,12254,856,11397,2475,8289,1489
Vermont,50,2022,6663,245,6418,1071,4934,658
Virginia,51,2022,63129,6196,56932,12942,39365,10821
Washington,52,2022,64851,6177,58675,8932,44652,11268
West Virginia,54,2022,38249,766,37483,5326,29664,3259
Wisconsin,55,2022,45741,2149,43592,10446,30613,4682
Wyoming,56,2022,2638,79,2558,452,1989,197
Outlying area,,,,,,,,
Northern Mariana Islands,57,2022,427,47,380,149,213,65
Unknown,58,2022,56,10,47,10,30,16
Alabama,01,2023,89218,2597,86621,18852,62335,8031
Alaska,02,2023,6309,589,5720,702,4563,1045
Arizona,04,2023,60104,5300,54804,13140,37116,9848
Arkansas,05,2023,55905,1307,54597,18137,33975,3792
California,06,2023,771692,176781,594911,79744,414104,277844
Colorado,08,2023,35982,3416,32566,5656,24663,5664
Connecticut,09,2023,32033,2502,29531,5265,21458,5310
Delaware,10,2023,8334,402,7932,2216,5265,853
District of Columbia,11,2023,14960,658,14302,2908,10448,1605
Florida,12,2023,260540,44408,216132,60974,135425,64140
Georgia,13,2023,125876,6944,118933,27565,83263,15048
Hawaii,15,2023,14024,2531,11493,1038,9187,3799
Idaho,16,2023,14355,520,13835,3233,9970,1152
Illinois,17,2023,148256,12084,136172,28338,95389,24528
Indiana,18,2023,66433,1613,64821,16374,45989,4071
Iowa,19,2023,24738,871,23867,4942,17758,2037
Kansas,20,2023,24346,967,23379,5620,16531,2195
Kentucky,21,2023,98431,2502,95929,18629,70305,9498
Louisiana,22,2023,91359,3286,88073,23056,59005,9298
Maine,23,2023,18409,454,17955,2467,14484,1458
Maryland,24,2023,62296,5872,56425,11122,41343,9831
Massachusetts,25,2023,111245,21876,89369,16158,71803,23284
Michigan,26,2023,149108,6204,142904,27885,106352,14870
Minnesota,27,2023,47835,4285,43551,8202,31570,8064
Mississippi,28,2023,63052,2130,60922,15130,41341,6580
Missouri,29,2023,71173,2216,68957,14675,50645,5853
Montana,30,2023,9272,332,8941,1643,6806,824
Nebraska,31,2023,13288,600,12688,2525,9520,1244
Nevada,32,2023,23878,4008,19869,5305,14294,4278
New Hampshire,33,2023,10030,315,9715,1471,7880,678
New Jersey,34,2023,91627,13881,77746,16123,53603,21901
New Mexico,35,2023,30857,2465,28392,5782,19764,5311
New York,36,2023,391847,56619,335228,56208,226403,109236
North Carolina,37,2023,113640,4874,108767,26425,74770,12445
North Dakota,38,2023,3874,210,3664,614,2787,473
Ohio,39,2023,164603,5006,159597,32213,118164,14226
Oklahoma,40,2023,49310,1675,47635,11281,33821,4208
Oregon,41,2023,41433,3111,38322,6313,29484,5635
Pennsylvania,42,2023,203114,8845,194269,45790,133489,23835
Rhode Island,44,2023,17090,1143,15948,2995,11615,2480
South Carolina,45,2023,59260,2206,57054,12835,40140,6285
South Dakota,46,2023,6897,413,6485,1488,4498,911
Tennessee,47,2023,95434,3195,92239,16074,70026,9334
