Year,Average Annual Unemployment Rate,Labor Force Percentage Change,Total Employment Percentage Change,GDP Percentage Change,Average Annual Nominal Interest Rate,Average Annual Real Interest Rate,Covered workers,OASI Beneficiaries,OASDI Beneficiaries,Covered workers per OASDI beneficiary,OASDI beneficiaries per 100 covered workers,Total Fertility Rate,"Age-sex-adjusted death rate per 100,000","Age-sex-adjusted death rate per 100,000 (Under 65)","Age-sex-adjusted death rate per 100,000 (65 and over)",LPR Immigration,LPR Emigration,Net LPR Change,Net Temporary or Unlawful Immigration Change,Income rate (OASDI),Cost rate (OASDI),Balance (OASDI),Income rate (HI),Cost rate (HI),Balance (HI),Worker (Retired workers & auxiliaries),Spouse (Retired workers & auxiliaries),Child (Retired workers & auxiliaries),Widow-widower (Survivors),Mother-father (Survivors),Child (Survivors),Parent (Survivors),Total,Non-interest income (K),Interest income (K),Total income (K),Cost (K),Reserves at end of year (K),Life Expectancy at Birth,Life Expectancy at Age 65,Ratio of OASDI Taxable Payroll to GDP,OASI Fund Ratio,DI Fund Ratio,OASDI Fund Ratio,Covid_dummy,LE65_x_Covid
1975.0,8.5,2.0,-1.1,-0.2,7.4,-1.3,100193.0,26998.0,31123.0,3.2,31.0,1.77,1214.2,426.2,6467.8,393.0,98.0,294.0,0.0,9.99,10.67,-0.68,1.9,1.79,0.11,16589.0,2867.0,643.0,3888.0,582.0,2919.0,21.0,27509.0,377200000.0,16700000.0,393900000.0,402900000.0,258200000.0,72.65,15.85,0.385,0.63,0.92,0.66,0,0.0
1976.0,7.7,2.5,3.3,5.4,7.1,1.7,102792.0,27739.0,32272.0,3.2,31.0,1.74,1205.2,415.7,6469.1,414.0,104.0,311.0,0.0,10.06,10.88,-0.83,1.8,1.93,-0.13,17165.0,2896.0,653.0,3994.0,579.0,2903.0,20.0,28209.0,398300000.0,15000000.0,413300000.0,430900000.0,226600000.0,72.94999999999999,15.950000000000001,0.384,0.54,0.71,0.57,0,0.0
1977.0,7.1,2.9,3.6,4.6,7.1,0.8,105953.0,28429.0,33161.0,3.2,31.0,1.8,1168.9,405.1,6261.1,491.0,123.0,369.0,0.0,9.99,10.98,-0.98,1.9,2.03,-0.13,17822.0,2964.0,678.0,4119.0,582.0,2877.0,18.0,29061.0,411000000.0,13100000.0,424100000.0,451400000.0,185500000.0,73.30000000000001,16.1,0.382,0.47,0.48,0.47,0,0.0
1978.0,6.1,3.3,4.3,5.5,8.2,-0.5,109432.0,29063.0,33924.0,3.2,31.0,1.76,1165.9,398.0,6285.6,541.0,135.0,406.0,0.0,10.02,10.73,-0.71,2.08,2.09,-0.01,18359.0,2980.0,661.0,4212.0,576.0,2780.0,17.0,29586.0,430500000.0,10900000.0,441400000.0,461100000.0,152500000.0,73.4,16.1,0.38,0.39,0.26,0.37,0,0.0
1979.0,5.9,2.7,2.8,3.2,9.1,-2.8,112069.0,29789.0,34615.0,3.2,31.0,1.82,1125.0,385.4,6056.0,427.0,107.0,320.0,0.0,9.91,10.25,-0.34,2.17,2.06,0.11,18972.0,2991.0,652.0,4322.0,574.0,2711.0,16.0,30237.0,447000000.0,9300000.0,456300000.0,462500000.0,130500000.0,73.85,16.4,0.398,0.3,0.3,0.3,0,0.0
1980.0,7.2,1.9,0.5,-0.3,11.0,-3.6,112651.0,30384.0,35117.0,3.2,31.0,1.82,1145.2,383.9,6221.5,542.0,135.0,406.0,203.0,10.2,10.73,-0.54,2.16,2.26,-0.1,19564.0,3018.0,639.0,4415.0,563.0,2610.0,15.0,30823.0,446100000.0,8900000.0,454900000.0,469500000.0,100500000.0,73.7,16.2,0.403,0.23,0.35,0.25,0,0.0
1981.0,7.6,1.6,1.1,2.5,13.3,1.0,112949.0,31073.0,35709.0,3.2,32.0,1.8,1113.7,374.4,6042.6,580.0,145.0,435.0,216.0,11.02,11.35,-0.33,2.65,2.46,0.19,20195.0,3031.0,633.0,4508.0,548.0,2546.0,14.0,31474.0,483300000.0,7700000.0,491000000.0,497600000.0,84600000.0,74.1,16.450000000000003,0.397,0.18,0.21,0.18,0,0.0
1982.0,9.7,1.4,-0.8,-1.8,12.8,7.3,111445.0,31207.0,35391.0,3.1,32.0,1.81,1079.2,362.5,5857.6,538.0,134.0,403.0,220.0,10.92,11.94,-1.01,2.66,2.72,-0.05,20768.0,3039.0,558.0,4595.0,515.0,2321.0,12.0,31808.0,476400000.0,4500000.0,480900000.0,520600000.0,80600000.0,74.5,16.65,0.401,0.15,0.17,0.15,0,0.0
1983.0,9.6,1.2,1.3,4.6,11.0,9.9,112525.0,31833.0,35726.0,3.1,32.0,1.78,1092.9,357.4,5996.5,548.0,137.0,411.0,237.0,10.95,11.5,-0.55,2.66,2.62,0.04,21424.0,3039.0,512.0,4694.0,400.0,2146.0,11.0,32226.0,514500000.0,26100000.0,540700000.0,540400000.0,78500000.0,74.5,16.450000000000003,0.409,0.14,0.15,0.14,0,0.0
1984.0,7.5,1.8,4.1,7.2,12.4,7.6,116888.0,32238.0,36026.0,3.2,31.0,1.79,1084.0,353.6,5953.5,548.0,137.0,411.0,257.0,11.47,11.3,0.17,2.65,2.71,-0.06,21911.0,3060.0,477.0,4744.0,382.0,2010.0,10.0,32595.0,558700000.0,10500000.0,569200000.0,550300000.0,94800000.0,74.65,16.55,0.395,0.2,0.35,0.21,0,0.0
